CUST_ID,CUST_NAME,CUSR_ADDRESS,CUST_MOB,CUST_EMAIL,create_date,update_date
1,Donovan,Hulste,1-183-301-3018,sit.amet.massa@ipsumprimisin.edu,34:10.4,NULL
2,Kane,Luton,905-3956,Nullam.vitae@atarcu.edu,34:10.4,NULL
3,Melvin,Thisnes,1-182-995-8931,fermentum.arcu.Vestibulum@DonecfringillaDonec.edu,34:10.4,NULL
4,Dexter,Cassano Spinola,704-7543,Proin.vel@seddictum.edu,34:10.4,NULL
5,Travis,Penzance,1-789-718-2177,mi.pede.nonummy@nonmassanon.ca,34:10.4,NULL
6,Joel,Wiekevorst,783-9901,tristique.pellentesque@atsem.co.uk,34:10.4,NULL
7,Zeus,Saguenay,1-142-209-9498,Nullam.enim.Sed@gravida.org,34:10.4,NULL
8,Graham,Achalpur,1-123-193-6130,sociis.natoque@idnunc.ca,34:10.4,NULL
9,Gage,Cagnes-sur-Mer,464-5349,dui@Maurisvelturpis.edu,34:10.4,NULL
10,Alan,Châteauroux,1-507-382-8304,vitae.sodales.nisi@Curabitur.org,34:10.4,NULL
11,Blake,Belmont,1-811-762-4393,a.malesuada.id@nequeseddictum.com,34:10.4,NULL
12,Baker,Poitiers,286-8009,adipiscing.Mauris@gravidamauris.com,34:10.4,NULL
13,Upton,Bolzano Vicentino,445-0490,blandit@scelerisquelorem.org,34:10.4,NULL
14,Sean,Dollard-des-Ormeaux,396-6328,ut.lacus.Nulla@Naminterdumenim.org,34:10.4,NULL
15,Wing,Rabbi,283-2849,Fusce.mi.lorem@IntegermollisInteger.co.uk,34:10.4,NULL
16,Seth,Santarcangelo di Romagna,416-0441,sociis@mieleifendegestas.net,34:10.4,NULL
17,Wayne,Seattle,785-2557,vitae.posuere.at@Fusce.org,34:10.4,NULL
18,Yoshio,Castlegar,576-2499,scelerisque@fringillaornare.ca,34:10.4,NULL
19,William,Santa Croce sull'Arno,1-284-207-8841,lacinia@inconsectetueripsum.edu,34:10.4,NULL
20,Seth,Cabras,234-6384,Integer.vitae@sit.com,34:10.4,NULL
21,Graiden,Plancenoit,706-7615,Mauris@interdum.co.uk,34:10.4,NULL
22,Nero,Madison,1-998-264-3714,porttitor.vulputate.posuere@sociosqu.com,34:10.4,NULL
23,Rashad,Ergani,547-2205,arcu.Sed@nec.edu,34:10.4,NULL
24,Nicholas,Rocky View,1-678-698-1900,sem@vel.net,34:10.4,NULL
25,Hunter,Idaho Falls,1-588-587-5499,Fusce@adlitoratorquent.com,34:10.4,NULL
26,Brennan,Lamorteau,1-289-852-3546,ut.nulla@aenim.ca,34:10.4,NULL
27,Fitzgerald,Paternopoli,720-6823,sit.amet.metus@elitNullafacilisi.net,34:10.4,NULL
28,Phelan,Potsdam,1-813-426-4200,Curabitur.ut.odio@ultrices.org,34:10.4,NULL
29,Jeremy,Toulon,849-0179,a.sollicitudin.orci@dolorsit.org,34:10.4,NULL
30,Cairo,Meix-le-Tige,334-0820,enim.Etiam@eratSednunc.ca,34:10.4,NULL
31,Giacomo,Ceranesi,1-781-268-9094,posuere@dui.co.uk,34:10.4,NULL
32,August,Reutlingen,142-9654,laoreet.posuere@fringillaeuismodenim.com,34:10.4,NULL
33,Hedley,Laramie,1-824-854-2345,Pellentesque.tincidunt.tempus@lobortismaurisSuspendisse.org,34:10.4,NULL
34,Ezekiel,Belém,1-652-623-7224,Proin.ultrices.Duis@Inscelerisque.net,34:10.4,NULL
35,Ross,Drancy,762-9483,erat.vel@nonantebibendum.ca,34:10.4,NULL
36,Brennan,Shreveport,554-8001,pede.Cum.sociis@posuere.co.uk,34:10.4,NULL
37,Aaron,Casalbuono,131-9842,volutpat.ornare@tinciduntaliquamarcu.org,34:10.4,NULL
